Driver Users User ID,Driver Users Metro ID,Latitude,Longitude,Driver Rating
38828,89,40.930217,-73.900783,3
22923,89,40.68944,-73.86997,3
43064,89,40.81779,-73.93921,3
22056,89,40.75983541,-73.8022308,3
35792,89,40.755733,-73.359061,3
32575,89,40.75519,-73.23953,3
35087,89,40.80603,-73.94233,3
43019,89,40.68093,-73.97088,3
36286,89,40.75642,-73.7982,3
8431,89,40.647917,-73.97438,3
40717,89,40.83048,-73.91769,3
37051,89,40.64792,-73.90929,3
42947,89,39.188678,-75.519097,3
36044,89,40.59717,-73.77219,5
41469,89,40.84927,-73.89913,3
42504,89,40.73744484,-73.86292516,3
38595,62,44.79371,-93.50947,3
16940,62,45.24443,-93.51717,3
30463,62,44.9304,-93.21885,3
22698,62,45.00725,-93.12291,3
38455,62,45.20393183,-93.232495,3
28756,62,45.1073,-93.3707,3
40653,62,44.87647,-93.04408,3
40596,62,44.948,-93.18832,3
42653,62,45.17967,-93.11024,3
42968,62,44.84167,-93.46801,3
42573,62,45.0746,-93.27568,3
30453,62,45.03313,-93.17396,5
43608,62,44.71544,-93.2138,3
28655,62,44.96297,-93.26804,3
43029,62,44.88704,-93.4156,3
16157,62,45.08889,-93.2736,3
29749,62,44.658815,-93.231674,3
36321,62,44.95319,-93.17044,3
36605,62,44.92811,-93.15478,5
43030,62,44.06673,-92.49563,3
42979,62,45.06147,-93.20393,3
31669,62,44.90556,-93.26666,3
19624,62,44.92483,-93.41755,3
42382,62,44.88401,-93.475,3
14226,62,44.78071117,-93.27423333,3
42208,62,45.03852,-93.21498,3
18072,62,44.98619,-93.23348,3
42535,62,44.74009,-93.31494,3
42949,62,44.9173,-93.48735,5
43251,27,25.95833,-80.18294,3
42543,27,25.912477,-80.228635,3
8687,27,25.69661,-80.4596,3
13892,27,25.6756,-80.42803,5
39894,27,25.77997,-80.23148,3
43250,27,25.761801,-80.190499,3
17380,27,25.68976,-80.44461,3
31768,27,25.96792,-80.24893,3
41488,27,25.82445,-80.24539,3
42498,27,25.94097,-80.26685,3
16419,27,25.89397,-80.31044,3
38462,27,25.62219,-80.3726,5
43035,27,25.94939,-80.20322,3
39648,27,25.687935,-80.314614,3
26024,27,25.69791,-80.44289,3
29053,27,25.66809167,-80.44160167,3
42469,27,25.66314,-80.32608,3
14639,27,25.96861,-80.18222,3
38223,27,25.80569,-80.18731,5
42734,27,25.78049,-80.23064,3
28498,27,25.44802763,-80.4731917,3
42542,27,25.9969,-80.14384,3
39895,27,25.91958,-80.17117,3
3404,27,25.90951,-80.17781,5
14638,27,25.76093,-80.34885,3
42541,27,25.84959,-80.23999,3
28497,27,25.62397656,-80.41075826,3
42892,27,25.57901,-80.35918,3
42497,27,25.91752,-80.28591,3
31504,27,25.54651,-80.36938,3
38495,27,25.76696,-80.22231,3
13976,27,25.86686,-80.33039,3
7458,27,25.88004,-80.27661,3
27970,27,25.73005,-80.30352,4
